Payment method,Payments basis,Attribute,Value,Attribute (2),% Usage
Debit_Other,value,Demographic,All,2016,0
Debit_Other,value,Demographic,All,2019,1
Debit_Other,value,Demographic,All,2022,1
Debit_Tap card,value,Demographic,All,2007,
Debit_Tap card,value,Demographic,All,2010,
Debit_Tap card,value,Demographic,All,2013,2
Debit_Tap card,value,Demographic,All,2016,8
Debit_Tap card,value,Demographic,All,2019,17
Debit_Tap card,value,Demographic,All,2022,18
Debit_Tap device,value,Demographic,All,2007,
Debit_Tap device,value,Demographic,All,2010,
Debit_Tap device,value,Demographic,All,2013,
Debit_Tap device,value,Demographic,All,2016,0
Debit_Tap device,value,Demographic,All,2019,1
Debit_Tap device,value,Demographic,All,2022,8
Debit_Total,value,Demographic,All,2007,21
Debit_Total,value,Demographic,All,2010,27
Debit_Total,value,Demographic,All,2013,22
Debit_Total,value,Demographic,All,2016,26
Debit_Total,value,Demographic,All,2019,36
Debit_Total,value,Demographic,All,2022,39
Gift/prepaid card,value,Demographic,All,2007,
Gift/prepaid card,value,Demographic,All,2010,
Gift/prepaid card,value,Demographic,All,2013,
Gift/prepaid card,value,Demographic,All,2016,1
Gift/prepaid card,value,Demographic,All,2019,1
Gift/prepaid card,value,Demographic,All,2022,0
Internet/phone banking,value,Demographic,All,2007,
Internet/phone banking,value,Demographic,All,2010,12
Internet/phone banking,value,Demographic,All,2013,10
Internet/phone banking,value,Demographic,All,2016,10
Internet/phone banking,value,Demographic,All,2019,14
Internet/phone banking,value,Demographic,All,2022,14
Other,value,Demographic,All,2007,3
Other,value,Demographic,All,2010,4
Other,value,Demographic,All,2013,7
Other,value,Demographic,All,2016,6
Other,value,Demographic,All,2019,3
Other,value,Demographic,All,2022,6
